1D8 4 7FE 0 0 0 7FF 0 0 0 0 0 0 7FF 7FF 0 
1D7 5 0 0 0 0 7FF 7FF 7FF 0 0 0 0 7FF 0 0 
1D7 5 0 0 0 1 7FF 7FF 1 7FF 0 0 7FF 7FF 0 0 
1D7 6 0 1 0 0 1 7FF 0 7FF 7FF 0 0 0 0 0 
1D7 5 7FF 1 7FF 0 7FF 7FF 0 7FF 7FF 0 0 0 0 7FF 
1D8 5 0 0 0 0 0 0 0 0 7FF 0 0 7FF 0 7FF 
1D5 5 7FF 1 7FF 0 1 7FF 7FF 7FF 0 0 0 0 0 7FF 
1D3 4 7FE 0 7FF 0 0 0 7FF 0 0 0 0 7FF 0 0 
1D5 6 7FE 0 0 0 7FF 0 7FE 7FF 0 7FF 0 7FF 7FF 0 
1D5 6 7FF 0 0 7FF 0 0 0 0 7FF 7FF 0 0 0 0 
1D6 6 7FF 0 7FF 0 0 0 0 7FF 7FF 7FF 7FF 0 7FF 0 
1C1 7 7FE 0 1 7FF 0 7FF 0 1 7FF 0 7FF 7FF 0 0 
1C2 6 7FF 0 0 0 0 7FF 0 1 0 7FF 0 7FF 1 7FF 
1C2 5 7FE 0 0 0 0 7FF 0 1 7FF 7FF 0 7FF 0 0 
1C3 5 7FE 1 0 7FF 0 7FE 0 0 7FF 0 7FF 7FF 0 7FF 
1C2 4 7FF 0 0 0 7FF 7FF 7FF 0 7FF 0 7FF 7FF 0 0 
1C3 3 1 0 1 0 0 7FF 7FF 0 7FF 0 0 7FF 0 7FF 
1C2 4 1 0 0 0 7FE 7FF 7FF 0 7FF 0 7FF 0 0 0 
1C3 4 1 0 7FF 0 7FF 0 0 0 0 7FF 7FF 0 7FF 0 
1C3 3 1 1 7FF 0 7FF 0 0 7FF 0 0 7FF 0 7FF 7FF 
1C2 5 0 0 0 0 7FF 7FF 7FF 7FF 0 7FF 0 0 7FF 0 
1C3 4 1 0 0 0 7FF 7FF 0 7FF 0 0 0 0 0 7FF 
1C2 3 0 0 7FF 1 7FF 7FF 0 7FF 0 7FF 7FF 0 0 7FF 
1C1 2 1 1 7FF 0 7FF 0 0 7FE 0 7FF 7FF 0 0 0 
1C2 3 0 1 7FF 0 0 0 0 0 0 0 7FE 0 7FF 7FF 
1C3 4 7FF 0 7FF 7FF 7FF 0 1 7FF 0 0 7FF 0 7FF 0 
1C3 4 7FF 1 0 0 7FE 0 0 0 0 0 0 0 0 7FF 
175 43 7F9 7E8 4 6 7FE 7FD 7FF 7FB 7FF 2 1 2 0 7FF 
177 44 7F9 7E9 5 7 7FF 7FC 7FE 7FD 0 1 1 1 7FF 0 
176 43 7F9 7E9 5 7 7FF 7FD 7FE 7FC 7FF 2 0 1 7FF 7FF 
176 45 7FA 7E9 5 6 7FE 7FD 7FF 7FC 7FF 1 0 1 0 7FF 
